Country,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
Finland,"7,821","7,886","7,756","2,518","1,892","1,258",775,736,109,534
Denmark,"7,636","7,710","7,563","2,226","1,953","1,243",777,719,188,532
Iceland,"7,557","7,651","7,464","2,320","1,936","1,320",803,718,270,191
Switzerland,"7,512","7,586","7,437","2,153","2,026","1,226",822,677,147,461
Netherlands,"7,415","7,471","7,359","2,137","1,945","1,206",787,651,271,419
Luxembourg*,"7,404","7,501","7,307","2,042","2,209","1,155",790,700,120,388
Sweden,"7,384","7,454","7,315","2,003","1,920","1,204",803,724,218,512
Norway,"7,365","7,440","7,290","1,925","1,997","1,239",786,728,217,474
Israel,"7,364","7,426","7,301","2,634","1,826","1,221",818,568,155,143
New Zealand,"7,200","7,279","7,120","1,954","1,852","1,235",752,680,245,483
Austria,"7,163","7,237","7,089","2,148","1,931","1,165",774,623,193,329
Australia,"7,162","7,244","7,081","2,011","1,900","1,203",772,676,258,341
Ireland,"7,041","7,121","6,961","1,743","2,129","1,166",779,627,190,408
Germany,"7,034","7,122","6,947","2,142","1,924","1,088",776,585,163,358
Canada,"7,025","7,107","6,943","1,924","1,886","1,188",783,659,217,368
United States,"6,977","7,065","6,888","2,214","1,982","1,182",628,574,220,177
United Kingdom,"6,943","7,018","6,867","1,967","1,867","1,143",750,597,289,329
Czechia,"6,920","7,029","6,811","2,263","1,815","1,260",715,660,158,48
Belgium,"6,805","6,890","6,720","2,283","1,907","1,106",764,492,49,204
France,"6,687","6,758","6,615","1,895","1,863","1,219",808,567,70,266
Bahrain,"6,647","6,779","6,514","2,092","1,854","1,029",625,693,199,155
Slovenia,"6,630","6,718","6,542","1,885","1,810","1,249",769,685,118,115
Costa Rica,"6,582","6,683","6,481","2,346","1,584","1,054",744,661,89,102
United Arab Emirates,"6,576","6,660","6,492","1,809","1,998",980,633,702,204,250
Saudi Arabia,"6,523","6,637","6,409","2,075","1,870","1,092",577,651,78,180
Taiwan Province of China,"6,512","6,596","6,429","2,002","1,897","1,095",733,542,75,168
Singapore,"6,480","6,569","6,392",932,"2,149","1,127",851,672,163,587
Romania,"6,477","6,575","6,379","2,446","1,719","1,006",655,605,39,6
Spain,"6,476","6,560","6,392","1,893","1,808","1,211",808,505,101,149
Uruguay,"6,474","6,562","6,386","1,974","1,615","1,180",672,665,103,265
Italy,"6,467","6,570","6,363","2,222","1,834","1,052",801,412,85,59
Kosovo,"6,455","6,571","6,339","2,631","1,362",949,569,599,309,35
Malta,"6,447","6,535","6,359","1,631","1,838","1,169",789,679,174,166
Lithuania,"6,446","6,535","6,356","2,153","1,804","1,204",659,496,53,77
Slovakia,"6,391","6,475","6,306","2,094","1,736","1,232",707,479,118,25
Estonia,"6,341","6,415","6,266","1,442","1,793","1,232",728,689,123,333
Panama,"6,309","6,464","6,154","2,086","1,715","1,107",709,592,49,51
Brazil,"6,293","6,384","6,202","2,361","1,462","1,044",615,546,131,134
Guatemala*,"6,262","6,460","6,064","2,746","1,274",831,522,662,112,115
Kazakhstan,"6,234","6,330","6,138","1,860","1,668","1,220",611,584,134,157
Cyprus,"6,221","6,320","6,122","2,044","1,815",909,819,448,123,62
Latvia,"6,180","6,255","6,106","1,923","1,732","1,221",637,502,75,90
Serbia,"6,178","6,294","6,062","2,031","1,550","1,086",658,546,219,88
Chile,"6,172","6,262","6,082","2,040","1,651","1,080",748,460,124,69
Nicaragua,"6,165","6,312","6,017","2,418","1,105","1,029",617,617,168,212
Mexico,"6,128","6,238","6,017","2,239","1,552",886,623,621,92,115
Croatia,"6,125","6,229","6,022","1,884","1,705","1,183",709,535,109,0
Poland,"6,123","6,205","6,040","1,693","1,758","1,174",712,523,124,140
El Salvador,"6,120","6,250","5,990","2,514","1,265",768,607,666,89,212
Kuwait*,"6,106","6,235","5,977","1,621","1,904",983,747,617,87,147
Hungary,"6,086","6,187","5,985","1,812","1,748","1,233",668,485,78,64
Mauritius,"6,071","6,184","5,958","1,969","1,591","1,116",568,589,131,107
Uzbekistan,"6,063","6,178","5,948","1,913","1,219","1,092",600,716,283,240
Japan,"6,039","6,119","5,959","1,487","1,835","1,089",866,537,7,218
Honduras,"6,022","6,189","5,855","2,611","1,111",885,555,582,202,76
Portugal,"6,016","6,122","5,911","1,691","1,760","1,078",777,655,16,39
Argentina,"5,967","6,090","5,844","1,891","1,592","1,102",662,555,81,85
Greece,"5,948","6,043","5,853","2,119","1,703",980,774,249,15,108
South Korea,"5,935","6,021","5,849","1,656","1,851",886,841,414,111,176
Philippines,"5,904","6,007","5,800","2,283","1,268",912,514,678,107,142
Thailand,"5,891","5,994","5,788","1,600","1,535","1,096",697,617,321,26
Moldova,"5,857","5,948","5,766","2,142","1,417","1,008",597,561,102,28
Jamaica,"5,850","6,023","5,676","2,164","1,296","1,045",646,567,80,53
Kyrgyzstan,"5,828","5,916","5,741","2,087","1,069","1,109",638,693,208,25
Belarus*,"5,821","5,950","5,693","1,811","1,562","1,157",629,342,40,282
Colombia,"5,781","5,903","5,659","1,971","1,452",929,720,545,87,77
Bosnia and Herzegovina,"5,768","5,877","5,659","1,869","1,468","1,068",665,448,244,6
Mongolia,"5,761","5,845","5,676","1,999","1,393","1,197",467,398,247,59
Dominican Republic,"5,737","5,873","5,601","1,751","1,538","1,003",577,606,84,179
Malaysia,"5,711","5,845","5,578","1,471","1,689",938,620,654,213,126
Bolivia,"5,600","5,709","5,491","2,107","1,256",880,555,627,112,64
China,"5,585","5,650","5,520","1,516","1,508",958,705,656,99,142
Paraguay,"5,578","5,689","5,467","1,555","1,409","1,130",624,629,171,59
Peru,"5,559","5,679","5,439","1,890","1,397",865,735,545,90,37
Montenegro,"5,547","5,681","5,413","1,619","1,573","1,023",659,460,135,77
Ecuador,"5,533","5,653","5,414","1,866","1,352",879,708,565,80,83
Vietnam,"5,485","5,570","5,400","1,735","1,252",932,611,707,143,105
Turkmenistan*,"5,474","5,578","5,371","1,160","1,484","1,319",516,649,314,32
North Cyprus*,"5,467","5,609","5,325","1,078","1,815",888,819,523,130,213
Russia,"5,459","5,525","5,392","1,494","1,685","1,095",586,401,117,80
Hong Kong S.A.R. of China,"5,425","5,501","5,348",642,"1,957",954,942,400,147,383
Armenia,"5,399","5,519","5,278","1,654","1,434",820,668,558,54,210
Tajikistan,"5,377","5,468","5,287","1,895",966,"1,005",518,572,118,304
Nepal,"5,377","5,502","5,251","2,224",984,784,499,519,237,130
Bulgaria,"5,371","5,485","5,257","1,235","1,625","1,163",640,563,123,21
Libya*,"5,330","5,543","5,118","1,544","1,476",943,606,477,106,179
Indonesia,"5,240","5,341","5,139","1,300","1,382",883,539,620,468,47
Ivory Coast,"5,235","5,384","5,085","2,652","1,094",442,322,451,149,124
North Macedonia,"5,199","5,303","5,095","1,461","1,505",863,637,488,215,31
Albania,"5,199","5,321","5,076","1,718","1,439",646,719,511,138,28
