Country,2015_Region,2015_Happiness Rank,2015_Happiness Score,2015_Standard Error,2015_Economy (GDP per Capita),2015_Family,2015_Health (Life Expectancy),2015_Freedom,2015_Trust (Government Corruption),2015_Generosity,2015_Dystopia Residual,2016_Region,2016_Happiness Rank,2016_Happiness Score,2016_Lower Confidence Interval,2016_Upper Confidence Interval,2016_Economy (GDP per Capita),2016_Family,2016_Health (Life Expectancy),2016_Freedom,2016_Trust (Government Corruption),2016_Generosity,2016_Dystopia Residual,2017_Happiness.Rank,2017_Happiness.Score,2017_Whisker.high,2017_Whisker.low,2017_Economy..GDP.per.Capita.,2017_Family,2017_Health..Life.Expectancy.,2017_Freedom,2017_Generosity,2017_Trust..Government.Corruption.,2017_Dystopia.Residual,2018_Overall rank,2018_Score,2018_GDP per capita,2018_Social support,2018_Healthy life expectancy,2018_Freedom to make life choices,2018_Generosity,2018_Perceptions of corruption,2019_Overall rank,2019_Score,2019_GDP per capita,2019_Social support,2019_Healthy life expectancy,2019_Freedom to make life choices,2019_Generosity,2019_Perceptions of corruption,2020_Regional indicator,2020_Ladder score,2020_Standard error of ladder score,2020_upperwhisker,2020_lowerwhisker,2020_Logged GDP per capita,2020_Social support,2020_Healthy life expectancy,2020_Freedom to make life choices,2020_Generosity,2020_Perceptions of corruption,2020_Ladder score in Dystopia,2020_Explained by: Log GDP per capita,2020_Explained by: Social support,2020_Explained by: Healthy life expectancy,2020_Explained by: Freedom to make life choices,2020_Explained by: Generosity,2020_Explained by: Perceptions of corruption,2020_Dystopia + residual,2021_Regional indicator,2021_Ladder score,2021_Standard error of ladder score,2021_upperwhisker,2021_lowerwhisker,2021_Logged GDP per capita,2021_Social support,2021_Healthy life expectancy,2021_Freedom to make life choices,2021_Generosity,2021_Perceptions of corruption,2021_Ladder score in Dystopia,2021_Explained by: Log GDP per capita,2021_Explained by: Social support,2021_Explained by: Healthy life expectancy,2021_Explained by: Freedom to make life choices,2021_Explained by: Generosity,2021_Explained by: Perceptions of corruption,2021_Dystopia + residual,2022_Happiness score,2022_Whisker-high,2022_Whisker-low,2022_Dystopia (1.83) + residual,2022_Explained by: GDP per capita,2022_Explained by: Social support,2022_Explained by: Healthy life expectancy,2022_Explained by: Freedom to make life choices,2022_Explained by: Generosity,2022_Explained by: Perceptions of corruption
Switzerland,Western Europe,1.0,7.587,0.03411,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2.51738,Western Europe,2.0,7.509,7.428,7.59,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,4.0,7.49399995803833,7.56177242040634,7.42622749567032,1.56497955322266,1.51691174507141,0.858131289482117,0.620070576667786,0.290549278259277,0.367007285356522,2.2767162322998,5.0,7.487,1.42,1.549,0.927,0.66,0.256,0.357,6.0,7.48,1.452,1.526,1.052,0.572,0.263,0.343,Western Europe,7.559899807,0.035014171,7.628527641,7.491271973,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,1.972316742,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901,2.35026741,Western Europe,7.571,0.036,7.643,7.5,11.117,0.942,74.4,0.919,0.025,0.292,2.43,1.566,1.079,0.816,0.653,0.204,0.413,2.839,"7,512","7,586","7,437","2,153","2,026","1,226",822.0,677.0,147.0,461.0
Iceland,Western Europe,2.0,7.561,0.04884,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,2.70201,Western Europe,3.0,7.501,7.333,7.669,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2.83137,3.0,7.50400018692017,7.62203047305346,7.38596990078688,1.480633020401,1.6105740070343,0.833552122116089,0.627162635326385,0.475540220737457,0.153526559472084,2.32271528244019,4.0,7.495,1.343,1.644,0.914,0.677,0.353,0.138,4.0,7.494,1.38,1.624,1.026,0.591,0.354,0.118,Western Europe,7.504499912,0.059615862,7.621346951,7.387652874,10.77255917,0.974669576,73.0,0.948891878,0.246944219,0.711709738,1.972316742,1.326501608,1.547567487,1.000843406,0.661980748,0.362330228,0.144540772,2.460688114,Western Europe,7.554,0.059,7.67,7.438,10.878,0.983,73.0,0.955,0.16,0.673,2.43,1.482,1.172,0.772,0.698,0.293,0.17,2.967,"7,557","7,651","7,464","2,320","1,936","1,320",803.0,718.0,270.0,191.0
Denmark,Western Europe,3.0,7.527,0.03328,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,2.49204,Western Europe,1.0,7.526,7.46,7.592,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2.73939,2.0,7.52199983596802,7.58172806486487,7.46227160707116,1.48238301277161,1.55112159252167,0.792565524578094,0.626006722450256,0.355280488729477,0.40077006816864,2.31370735168457,3.0,7.555,1.351,1.59,0.868,0.683,0.284,0.408,2.0,7.6,1.383,1.573,0.996,0.592,0.252,0.41,Western Europe,7.645599842,0.033492286,7.711244583,7.579955101,10.77400112,0.955990791,72.40250397,0.951444268,0.066201776,0.168489456,1.972316742,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,2.432740688,Western Europe,7.62,0.035,7.687,7.552,10.933,0.954,72.7,0.946,0.03,0.179,2.43,1.502,1.108,0.763,0.686,0.208,0.485,2.868,"7,636","7,710","7,563","2,226","1,953","1,243",777.0,719.0,188.0,532.0
Norway,Western Europe,4.0,7.522,0.0388,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531,Western Europe,4.0,7.498,7.421,7.575,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,2.66465,1.0,7.53700017929077,7.59444482058287,7.47955553799868,1.61646318435669,1.53352355957031,0.796666502952576,0.635422587394714,0.36201223731041,0.315963834524155,2.27702665328979,2.0,7.594,1.456,1.582,0.861,0.686,0.286,0.34,3.0,7.554,1.488,1.582,1.028,0.603,0.271,0.341,Western Europe,7.487999916,0.034837384,7.55628109,7.419718742,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.263218194,1.972316742,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568,2.168266296,Western Europe,7.392,0.035,7.462,7.323,11.053,0.954,73.3,0.96,0.093,0.27,2.43,1.543,1.108,0.782,0.703,0.249,0.427,2.58,"7,365","7,440","7,290","1,925","1,997","1,239",786.0,728.0,217.0,474.0
Canada,North America,5.0,7.427,0.03553,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,North America,6.0,7.404,7.335,7.473,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2.70485,7.0,7.31599998474121,7.38440283536911,7.24759713411331,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.435539722442627,0.287371516227722,2.18726444244385,7.0,7.328,1.33,1.532,0.896,0.653,0.321,0.291,9.0,7.278,1.365,1.505,1.039,0.584,0.285,0.308,North America and ANZ,7.23210001,0.04040546,7.311294556,7.152905464,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,1.972316742,1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856,2.195269108,North America and ANZ,7.103,0.042,7.185,7.021,10.776,0.926,73.8,0.915,0.089,0.415,2.43,1.447,1.044,0.798,0.648,0.246,0.335,2.585,"7,025","7,107","6,943","1,924","1,886","1,188",783.0,659.0,217.0,368.0
Finland,Western Europe,6.0,7.406,0.0314,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,2.61955,Western Europe,5.0,7.413,7.351,7.475,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,2.82596,5.0,7.4689998626709,7.52754207581282,7.41045764952898,1.44357192516327,1.5402467250824,0.80915766954422,0.617950856685638,0.24548277258873,0.38261154294014,2.4301815032959,1.0,7.632,1.305,1.592,0.874,0.681,0.202,0.393,1.0,7.769,1.34,1.587,0.986,0.596,0.153,0.393,Western Europe,7.808700085,0.031156305,7.869766235,7.747633934,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019,0.195444584,1.972316742,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262,2.762835026,Western Europe,7.842,0.032,7.904,7.78,10.775,0.954,72.0,0.949,-0.098,0.186,2.43,1.446,1.106,0.741,0.691,0.124,0.481,3.253,"7,821","7,886","7,756","2,518","1,892","1,258",775.0,736.0,109.0,534.0
Netherlands,Western Europe,7.0,7.378,0.02799,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,2.4657,Western Europe,7.0,7.339,7.284,7.394,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2.70749,6.0,7.3769998550415,7.42742584124207,7.32657386884093,1.50394463539124,1.42893922328949,0.810696125030518,0.585384488105774,0.470489829778671,0.282661825418472,2.29480409622192,6.0,7.441,1.361,1.488,0.878,0.638,0.333,0.295,5.0,7.488,1.396,1.522,0.999,0.557,0.322,0.298,Western Europe,7.448900223,0.02779175,7.503372192,7.394428253,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,1.972316742,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,0.368569762,2.352117062,Western Europe,7.464,0.027,7.518,7.41,10.932,0.942,72.4,0.913,0.175,0.338,2.43,1.501,1.079,0.753,0.647,0.302,0.384,2.798,"7,415","7,471","7,359","2,137","1,945","1,206",787.0,651.0,271.0,419.0
Sweden,Western Europe,8.0,7.364,0.03157,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2.37119,Western Europe,10.0,7.291,7.227,7.355,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,9.0,7.28399991989136,7.34409487739205,7.22390496239066,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.385399252176285,0.384398728609085,2.09753799438477,9.0,7.314,1.355,1.501,0.913,0.659,0.285,0.383,7.0,7.343,1.387,1.487,1.009,0.574,0.267,0.373,Western Europe,7.353499889,0.036234196,7.424519062,7.282480717,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,1.972316742,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371,2.246299267,Western Europe,7.363,0.036,7.433,7.293,10.867,0.934,72.7,0.945,0.086,0.237,2.43,1.478,1.062,0.763,0.685,0.244,0.448,2.683,"7,384","7,454","7,315","2,003","1,920","1,204",803.0,724.0,218.0,512.0
New Zealand,Australia and New Zealand,9.0,7.286,0.03371,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2.26425,Australia and New Zealand,8.0,7.334,7.264,7.404,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,2.47553,8.0,7.31400012969971,7.3795104418695,7.24848981752992,1.40570604801178,1.54819512367249,0.816759705543518,0.614062130451202,0.500005125999451,0.382816702127457,2.0464563369751,8.0,7.324,1.268,1.601,0.876,0.669,0.365,0.389,8.0,7.307,1.303,1.557,1.026,0.585,0.33,0.38,North America and ANZ,7.299600124,0.039465468,7.376952648,7.222247601,10.50094318,0.949118972,73.20262909,0.936217487,0.191598073,0.22113885,1.972316742,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276,2.128108025,North America and ANZ,7.277,0.04,7.355,7.198,10.643,0.948,73.4,0.929,0.134,0.242,2.43,1.4,1.094,0.785,0.665,0.276,0.445,2.612,"7,200","7,279","7,120","1,954","1,852","1,235",752.0,680.0,245.0,483.0
Australia,Australia and New Zealand,10.0,7.284,0.04083,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646,Australia and New Zealand,9.0,7.313,7.241,7.385,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2.5465,10.0,7.28399991989136,7.35665122494102,7.2113486148417,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846,2.06521081924438,10.0,7.272,1.34,1.573,0.91,0.647,0.361,0.302,11.0,7.228,1.372,1.548,1.036,0.557,0.332,0.29,North America and ANZ,7.222799778,0.041841116,7.30480814,7.140791416,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,1.972316742,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419,2.129804134,North America and ANZ,7.183,0.041,7.265,7.102,10.796,0.94,73.9,0.914,0.159,0.442,2.43,1.453,1.076,0.801,0.647,0.291,0.317,2.598,"7,162","7,244","7,081","2,011","1,900","1,203",772.0,676.0,258.0,341.0
Israel,Middle East and Northern Africa,11.0,7.278,0.0347,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,3.08854,Middle East and Northern Africa,11.0,7.267,7.199,7.335,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,3.31029,11.0,7.21299982070923,7.27985325649381,7.14614638492465,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.330082654953003,0.0852421000599861,2.80175733566284,19.0,6.814,1.301,1.559,0.883,0.533,0.354,0.272,13.0,7.139,1.276,1.455,1.029,0.371,0.261,0.082,Middle East and North Africa,7.128600121,0.042515181,7.211929798,7.045270443,10.41752529,0.913571239,73.20025635,0.747580588,0.10259372,0.78085506,1.972316742,1.216463685,1.403256774,1.008052945,0.420699477,0.266861796,0.09989845,2.713358402,Middle East and North Africa,7.157,0.034,7.224,7.09,10.575,0.939,73.503,0.8,0.031,0.753,2.43,1.376,1.074,0.788,0.509,0.208,0.119,3.083,"7,364","7,426","7,301","2,634","1,826","1,221",818.0,568.0,155.0,143.0
Costa Rica,Latin America and Caribbean,12.0,7.226,0.04454,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,3.17728,Latin America and Caribbean,14.0,7.087,6.999,7.175,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,3.35168,12.0,7.0789999961853,7.16811166629195,6.98988832607865,1.10970628261566,1.41640365123749,0.759509265422821,0.580131649971008,0.214613229036331,0.100106589496136,2.89863920211792,13.0,7.072,1.01,1.459,0.817,0.632,0.143,0.101,12.0,7.167,1.034,1.441,0.963,0.558,0.144,0.093,Latin America and Caribbean,7.121399879,0.044816118,7.209239483,7.033560276,9.658156395,0.901545942,71.29985046,0.934738934,-0.10242971,0.786332428,1.972316742,0.981107712,1.374853611,0.939635336,0.645017743,0.131266311,0.096362092,2.953135014,Latin America and Caribbean,7.069,0.056,7.179,6.96,9.88,0.891,71.4,0.934,-0.126,0.809,2.43,1.134,0.966,0.722,0.673,0.105,0.083,3.387,"6,582","6,683","6,481","2,346","1,584","1,054",744.0,661.0,89.0,102.0
Austria,Western Europe,13.0,7.2,0.03751,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332,Western Europe,12.0,7.119,7.045,7.193,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2.69343,13.0,7.00600004196167,7.07066981211305,6.94133027181029,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461,2.1385064125061,12.0,7.139,1.341,1.504,0.891,0.617,0.242,0.224,10.0,7.246,1.376,1.475,1.016,0.532,0.244,0.226,Western Europe,7.294199944,0.033365164,7.359595776,7.228804111,10.7428236,0.928045869,73.00250244,0.899989486,0.085429221,0.499954879,1.972316742,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139,2.398446083,Western Europe,7.268,0.036,7.337,7.198,10.906,0.934,73.3,0.908,0.042,0.481,2.43,1.492,1.062,0.782,0.64,0.215,0.292,2.784,"7,163","7,237","7,089","2,148","1,931","1,165",774.0,623.0,193.0,329.0
Mexico,Latin America and Caribbean,14.0,7.187,0.04176,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,3.60214,Latin America and Caribbean,21.0,6.778,6.68,6.876,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,3.55906,25.0,6.57800006866455,6.67114890769124,6.48485122963786,1.15318381786346,1.210862159729,0.709978997707367,0.412730008363724,0.120990432798862,0.132774114608765,2.83715486526489,24.0,6.488,1.038,1.252,0.761,0.479,0.069,0.095,23.0,6.595,1.07,1.323,0.861,0.433,0.074,0.073,Latin America and Caribbean,6.465000153,0.048122469,6.559319973,6.370680332,9.797797203,0.838665426,68.29902649,0.858709276,-0.175266623,0.806821585,1.972316742,1.024387479,1.226333499,0.831601024,0.553892553,0.083094485,0.083133668,2.662540197,Latin America and Caribbean,6.317,0.053,6.42,6.213,9.859,0.831,68.597,0.862,-0.147,0.799,2.43,1.126,0.83,0.634,0.585,0.092,0.089,2.961,"6,128","6,238","6,017","2,239","1,552",886,623.0,621.0,92.0,115.0
United States,North America,15.0,7.119,0.03839,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,North America,13.0,7.104,7.02,7.188,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,2.72782,14.0,6.99300003051758,7.07465674757957,6.91134331345558,1.54625928401947,1.41992056369781,0.77428662776947,0.505740523338318,0.392578780651093,0.135638788342476,2.2181134223938,18.0,6.886,1.398,1.471,0.819,0.547,0.291,0.133,19.0,6.892,1.433,1.457,0.874,0.454,0.28,0.128,North America and ANZ,6.939599991,0.047316168,7.032339573,6.846860409,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,1.972316742,1.37398684,1.404786706,0.831618011,0.534608245,0.298143059,0.152284741,2.344124794,North America and ANZ,6.951,0.049,7.047,6.856,11.023,0.92,68.2,0.837,0.098,0.698,2.43,1.533,1.03,0.621,0.554,0.252,0.154,2.807,"6,977","7,065","6,888","2,214","1,982","1,182",628.0,574.0,220.0,177.0
Brazil,Latin America and Caribbean,16.0,6.983,0.04076,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001,Latin America and Caribbean,17.0,6.952,6.875,7.029,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,3.50733,22.0,6.63500022888184,6.72546950161457,6.5445309561491,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.16234989464283,0.111092761158943,2.76926708221436,28.0,6.419,0.986,1.474,0.675,0.493,0.11,0.088,32.0,6.3,1.004,1.439,0.802,0.39,0.099,0.086,Latin America and Caribbean,6.375599861,0.040790688,6.455549717,6.295650005,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,1.972316742,0.952679873,1.363464117,0.766119063,0.483292729,0.131674588,0.106518604,2.571860313,Latin America and Caribbean,6.33,0.043,6.415,6.245,9.577,0.882,66.601,0.804,-0.071,0.756,2.43,1.028,0.944,0.571,0.514,0.142,0.117,3.015,"6,293","6,384","6,202","2,361","1,462","1,044",615.0,546.0,131.0,134.0
Luxembourg,Western Europe,17.0,6.946,0.03499,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,1.96961,Western Europe,20.0,6.871,6.804,6.938,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,2.11055,18.0,6.86299991607666,6.92368609987199,6.80231373228133,1.74194359779358,1.45758366584778,0.845089495182037,0.59662789106369,0.283180981874466,0.31883442401886,1.61951208114624,17.0,6.91,1.576,1.52,0.896,0.632,0.196,0.321,14.0,7.09,1.609,1.479,1.012,0.526,0.194,0.316,Western Europe,7.237500191,0.030851794,7.297969818,7.177030563,11.45068073,0.906912208,72.59999847,0.90563643,-0.004620588,0.367084295,1.972316742,1.536676049,1.387528419,0.986442685,0.610137045,0.19595392,0.367041469,2.153700352,Western Europe,7.324,0.037,7.396,7.252,11.647,0.908,72.6,0.907,-0.034,0.386,2.43,1.751,1.003,0.76,0.639,0.166,0.353,2.653,,,,,,,,,,
